cubename	galaxy	ra	dec	Type	a_v	D_ang (arcmin)	D_lin (kpc)	z	d (Mpc)	seeing	Lin Esc (pc)	D_25_B	r/R_25_B	t_e	Incl	PA	A++	ut	bt	vt	rt	it	mabs
SN2017fvr	UGC3165	04h47m27.41s	23d59m01.3s	IAm	1.82869	3.72	59.17	0.012644	54.151	0.86	225.78	2.82	0.603	9.0	53.51	135			16.0				-21.064
NGC6754	NGC6754	19h11m25.72s	-50d38m30.5s	SB(rs)b	0.18848	3.0	36.61	0.010838	46.416	1.01	227.28	1.86	0.490	3.0	64.45	80			13.0	12.221		11.1	-20.76
PSNJ1828582	NGC6641	18h28m57.37s	22d54m10.8s	SBa	0.3007	1.1	21.74	0.013897	59.517	0.79	227.95	1.82	0.759	1.0	43.59		NEW OBJ.		14.0				-20.391
SN2017fbu	IC211	02h11m08.00s	03d51m09.0s	SAB(s)cd	0.10602	2.6	19.17	0.010987	47.055	1.02	232.69	1.55	0.794	5.0	38.37	45			14.0				-20.044
SN2015ap	IC1776	02h05m15.22s	06d06m24.6s	SB(s)d	0.11129	2.3	32.48	0.011446	49.02	1.0	237.66	0.91	0.977	7.0	12.47		NEW OBJ.		14.0				-19.483
ASASSN-15hs	ESO022-G010	15h33m34.89s	-78d07m25.9s	S0	0.2883	1.87	20.55	0.009095	38.952	1.26	237.94	1.26	0.83	-1.0	37.92		NEW OBJ.		14.0			11.885	-19.552
SN2017fqo	NGC716	01h52m59.68s	12d42m30.5s	SBa	0.14229	2.1	33.0	0.015356	65.766	0.75	239.13	1.55	0.417	1.0	74.25	57		15.426	14.0			12.333	-20.72
SN2017fqk	NGC1137	02h54m02.73s	02d57m43.5s	(R')SA(rs)b	0.2821	2.5	27.34	0.010306	44.138	1.14	243.95		0.617	3.0	54.53	20			13.0	12.84		11.856	-20.534
NGC6769	NGC6769	19h18m22.68s	-60d30m03.9s	SAB(r)b pec	0.16213	6.64	112.29	0.012751	54.609	0.94	248.87	1.38	0.646	3.0	52.19	122	NEW OBJ.		13.0	11.767		10.735	-21.513
SN2014ao	NGC2615	08h34m33.35s	-02d32m48.5s	SB(rs)b	0.08711	2.3	40.82	0.013957	59.774	0.87	252.12	1.26	0.550	3.0	59.81	40	NEW OBJ.		13.0			11.255	-20.94
NGC3393	NGC3393	10h48m23.46s	-25d09m43.4s	(R')SB(rs)a	0.20181	4.0	69.17	0.012461	53.367	0.98	253.56	1.15	0.912	1.0	25.74		NEW OBJ.		13.0	13.085		10.9	-21.01
SN2015W_B	UGC3617	06h57m45.17s	13d34m30.6s	SBab	0.36518	1.15	20.13	0.013427	57.504	0.92	256.49	1.86	1.000	1.0	0.0		NEW OBJ.		16.0				-18.619
ASASSN-16in	ESO422-G19	04h59m30.42s	-28d52m02.7s	Sb	0.03441	1.3	26.76	0.015948	68.301	0.8	264.91	1.48	0.5	3.0	63.67		NEW OBJ.		16.0			14.298	-19.11
ASASSN-16gy	UGC1814	02h21m23.71s	16d33m59.6s	SAB(s)bc	0.38905	2.76	35.61	0.01374	58.845	0.95	271.02	1.00	0.479	3.0	65.3	157	NEW OBJ.		14.0			12.222	-20.937
SN2016bas	ESO163-G11	07h38m05.51s	-55d11m26.8s	SB(s)b edge-on	0.39649	3.0	38.01	0.009479	40.596	1.39	273.57	1.02	0.245	3.0	90.0	3			14.0			11.843	-20.376
ASASSN-15tu	ESO405-G29	22h34m01.66s	-32d23m49.2s	SB(s)c	0.03565	0.77	12.82	0.012321	52.768	1.07	273.73	1.41	0.794	5.0	38.37	64	NEW OBJ.						
SN2017jbj	NGC259	00h48m03.29s	-02d46m31.2s	Sbc edge-on	0.11997	3.0	41.09	0.013708	58.708	0.97	276.09	1.70	0.219	4.0	90.0	140	NEW OBJ.		13.697			11.613	-20.979
SN2015ay	UGC722	01h09m45.70s	13d18m32.0s	SB(s)dm	0.07471	1.95	33.53	0.014221	60.905	0.94	277.56		0.646	7.0	50.63	150	NEW OBJ.		16.0				-18.752
PSNJ0919528	ESO061-G008	09h19m55.43s	-68d54m32.5s	SA(rs)c	0.31248	2.77	36.05	0.011288	48.344	1.19	278.91		0.316	5.0	75.63	108	NEW OBJ.		13.0			12.483	-21205.0
ASASSN-16ba	MCG-03-25-015	09h42m28.99s	-16d58m36.4s	SBa	0.17391	1.62	31.44	0.013858	59.35	0.98	281.98	2.04	0.851	1.0	33.79		NEW OBJ.						
ASASSN-16ai	UGC9450	14h39m45.30s	23d23m47.7s	Sdm	0.08587	1.0	22.62	0.015036	64.395	0.91	284.1		0.126	7.0	90.0	50	NEW OBJ.	17.589	17.0			15.725	-18.6
ASASSN-16jt	ESO344-G021	22h19m49.23s	-40d39m59.8s	Sab	0.03193	1.5	21.66	0.01085	46.468	1.27	286.11	1.78	0.417	1.0	74.25	55	NEW OBJ.		15.0			13.345	-19.053
ASASSN-14dq	UGC11860	21h57m59.70s	24d16m00.0s	Sdm	0.18631	1.62	29.18	0.010476	44.866	1.32	287.12		0.407	7.0	67.68	133	NEW OBJ.		16.0				-18.301
LSQ15xp	MCG-03-30-002	11h32m43.59s	-16d43m56.5s	Sc	0.10168	0.5	8.61	0.012149	52.031	1.14	287.57	1.48	0.78	5.0	39.71		NEW OBJ.		15.0				-18.474
ASASSN-17oj	ESO466-G4	21h44m23.58s	-29d54m26.4s	SB(s)d	0.11811	2.38	49.72	0.018806	80.541	0.75	292.86	1.62	0.851	7.0	32.13		NEW OBJ.		15.0			14.24	-19.819
SN2018evy	NGC6627	18h22m38.92s	15d41m52.8s	(R')SB(s)b	0.52979	1.62	28.51	0.017708	75.839	0.81	297.82	2.00	0.912	3.0	25.12	70	NEW OBJ.		14.0	13.325			-20.945
ASASSN-15ln	UGC546	00h53m42.04s	18d05m48.4s	Sdm	0.12741	1.3	24.5	0.015183	65.025	0.97	305.79		0.447	7.0	64.95	5	NEW OBJ.		16.0				-19.288
SN2018ie	NGC3456	10h54m03.31s	-16d01m39.8s	SB(rs)c	0.18011	1.95	26.93	0.013868	59.393	1.08	310.98	1.78	0.676	5.0	48.8		NEW OBJ.		13.0			11.765	-21.116
ASASSN-15ng	ESO221-G12	13h51m32.50s	-48d05m00.7s	SBm pec	0.38781	2.74	38.72	0.010031	42.96	1.54	320.75	1.05	0.302	9.0	73.89	165	NEW OBJ.		14.0			12.465	-20.621
SN2017fwm	ESO141-32	19h12m53.00s	-60d23m07.8s	Sb	0.15221	1.25	26.9	0.01414	60.558	1.14	334.7	1.23	0.759	3.0	42.36				14.0			12.805	-20.131
PSNJ2241147	NGC7349	22h41m14.90s	-21d47m54.6s	SBb pec	0.07564	1.29	20.27	0.01515	64.884	1.07	336.58		0.457	3.0	67.01	166	NEW OBJ.		15.0			13.593	-19.433
SN2017rt	NGC3836	11h43m29.80s	-16d47m44.0s	Sb pec	0.10726	1.41	24.19	0.011938	51.127	1.39	344.54	1.29	0.933	3.0	21.87				14.0			12.03	-20.284
SN2016P	NGC5374	13h57m29.63s	06d05m49.2s	SB(r)bc	0.07192	1.7	33.99	0.014466	61.954	1.15	345.42	1.51	0.871	4.0	30.3		NEW OBJ.	14.63	14.0			12.428	-20.688
SN2018bl	ESO018-G009	08h24m07.89s	-77d46m57.3s	Sab	0.30752	1.1	26.74	0.017785	76.169	0.95	350.81	2.19	0.83	1.0	36.2		NEW OBJ.		14.0	13.7		12.775	-20.938
ASASSN-16go	WISEAJ130244.00-265627.6	13h02m43.98s	-26d56m27.7s	Sc	0.20987	0.65	15.72	0.016049	68.734	1.08	359.89		0.62	5.0	53.23		NEW OBJ.						
SN2017auf	MCG-02-13-038	05h02m19.29s	-10d21m22.6s	(R')SA(rs)a	0.23591	2.19	33.97	0.013442	57.569	1.29	360.04	1.10	0.437	1.0	72.26							11.795	
SN2003E	ESO485-G004	04h39m11.09s	-24d10m47.4s	Sc	0.12803	2.7	44.92	0.014745	63.149	1.2	367.39	1.78	0.62	5.0	53.23		NEW OBJ.						
SN2017grn	IC1498	23h31m53.65s	-05d00m25.1s	(R')SB(r)a	0.11749	1.86	36.37	0.017369	74.387	1.02	367.85		0.347	1.0	83.27		NEW OBJ.		14.0			11.745	-21.129
GASS109056	WISEAJ090041.86+173718.3	09h00m41.89s	17d37m18.4s	Sc	0.07316	1.13	19.96	0.012983	55.603	1.39	374.7	1.82	0.11	5.0	90.0		NEW OBJ.						
ASASSN-18oa	ESO476-G16	01h30m25.92s	-26d46m48.1s	SB(r)bc	0.04309	2.38	46.31	0.019823	84.897	0.93	382.78	1.51	0.501	4.0	62.73	143	NEW OBJ.		14.0			12.614	-20.941
SN2015bf	NGC7653	23h24m49.36s	15d16m32.1s	Sb	0.1767	1.7	29.72	0.014388	61.62	1.32	394.34	1.07	0.891	3.0	28.03		NEW OBJ.	15.259	13.0	12.744		12.109	-20.985
NGC6935	NGC6935	20h38m20.22s	-52d06m37.6s	(R')SA(r)a	0.09269	3.65	55.37	0.015422	66.049	1.26	403.47		0.851	1.0	33.79			12.991	13.0	11.999		10.446	-21.498
ASASSN-15fi	MRK884	16h31m48.76s	20d24m38.8s	Sc	0.15252	0.59	14.46	0.017249	73.873	1.14	408.29	0.87	0.83	5.0	34.71		NEW OBJ.	16.0	15.0			15.289	-19.522
ASASSN-15fz	NGC5227	13h35m24.56s	01d24m38.1s	(R')SB(r)b	0.06541	2.0	23.39	0.017372	74.4	1.14	411.2		0.851	3.0	32.92	145	NEW OBJ.	15.926	14.0	13.214		12.652	-20.845
SN2018cho	IC4	00h13m26.94s	17d29m11.2s	Sc	0.14973	1.1	23.2	0.016651	71.312	1.2	414.88		0.832	5.0	34.5	10	NEW OBJ.		14.136				-20.719
MASTEROT	UGC12295	23h00m23.71s	01d37m35.5s	SAB(s)cd	0.21266	1.3	22.68	0.01622	69.466	1.32	444.55		0.759	5.0	41.66	95	NEW OBJ.		15.0			13.31	-19.269
ATLAS17hpc	IC4224	13h19m05.05s	-02d30m55.1s	Scd	0.08587	0.97	25.79	0.01842	78.888	1.18	451.3	12.88	0.78	6.0	39.5		NEW OBJ.	16.245	15.0			14.214	-20.544
NGC6975	NGC6975	20h52m26.03s	-05d46m20.3s	SAB(r)bc	0.19995	1.38	36.56	0.02002	85.741	1.09	453.09	1.51	0.851	4.0	32.64		NEW OBJ.	16.117	15.0			13.802	-20.374
NGC7130	NGC7130	21h48m19.52s	-34d57m04.5s	Sa pec	0.07657	2.67	57.51	0.015956	68.336	1.37	453.88	2.14	0.912	1.0	25.74			12.926	13.0	12.722		11.015	-21.537
SN2017ggw	ESO246-21	02h30m27.90s	-43d01m36.7s	(R')SB(r)b	0.06293	3.18	72.43	0.018624	79.762	1.18	456.3		0.603	3.0	55.65	138			13.0	12.676		11.225	-21.364
SN2017dkb	WISEAJ181402.77+215313.1	18h14m02.81s	21d53m13.3s	Sc	0.31124			0.019203	82.242	1.15	458.53	3.39	0.43	5.0	67.19		NEW OBJ.						
SN2016hvu	NGC7316	22h35m56.34s	20d19m20.1s	SBbc	0.12741	1.12	21.94	0.018615	79.723	1.27	490.87	3.55	0.794	4.0	38.64	60	NEW OBJ.	13.486	14.0	13.036			-21.329
ASASSN-15kj	ESO297-G37	01h58m12.85s	-39d32m41.1s	SB(rs)bc edge-on	0.04805	2.61	57.2	0.018517	79.304	1.33	511.35	1.66	0.200	4.0	90.0	64	NEW OBJ.		15.0			12.923	-21.049
SN2017gfh	2MASXJ20032778+0659228	20h03m27.80s	06d59m22.9s	SA(r)c	0.41199	1.4	34.0	0.024611	105.403	1.02	521.23	1.32	0.41	5.0	68.63				16.0				-20.032
HCG21a	NGC1099	02h45m18.02s	-17d42m30.1s	SB(rs)b	0.07502	3.14	81.38	0.025475	109.103	0.99	523.66	2.14	0.331	3.0	77.58	10	NEW OBJ.	14.346	14.0	13.206		11.97	-22.003
SN2017fvf	NGC1285	03h17m53.43s	-07d17m52.1s	(R')SB(r)b pec	0.14508	1.55	26.4	0.017597	75.364	1.52	555.37	1.51	0.724	3.0	45.55	10		14.751	14.0			12.429	-21.428
NGC0863	NGC863	02h14m33.56s	-00d46m00.1s	SA(s)a	0.09486	1.3	34.47	0.026399	113.06	1.08	591.98	1.29	0.933	1.0	22.4			15.365	14.0	13.714		12.146	-21.638
2MASXJ16105891-6055250	WKK6047	16h10m58.93s	-60d55m24.9s	E-S0	0.60233	0.85	21.76	0.018159	77.77	1.61	607.04	1.59	0.63	-1.0	58.83		NEW OBJ.		17.0				-18.681
MRK0618	Mrk618	04h36m22.24s	-10d22m33.8s	SB(s)b pec	0.20088	0.89	40.1	0.035268	151.044	0.85	622.44	4.07	0.759	3.0	42.36					14.51		12.786	
LSQ11ot	2MASXJ05154756+0646413	05h15m47.57s	06d46m41.3s	Sc edge-on	0.49073	0.95	38.35	0.027329	117.043	1.39	788.74	1.29	0.81	5.0	36.78		NEW OBJ.		17.0			14.69	-20.786
SN2017gbv	ESO301-26	03h42m01.37s	-39d19m56.3s	Sbc	0.04309	1.25	66.3	0.042543	182.201	0.97	856.84	2.57	0.19	4.0	90.0				15.0			13.37	-21.781
SN2018anu	CGCG112-011NED02	17h36m16.54s	18d58m25.6s	Sc	0.18817	1.98	57.48	0.039336	168.466	1.14	931.09	5.50	0.52	5.0	60.71		NEW OBJ.						
NGC5236	NGC5236	13h37m00.95s	-29d51m55.5s	SAB(s)c	0.18166	12.9	36.24	0.001711	11.70	1.09	61.83		0.891	5.0	27.62								
Arp10	Arp10	02h18m26.36s	05d39m13.8s	SB(r)c	0.10416	1.5	72.24	0.030381	130.56	1.08	683.61	6.46	0.977	5.0	12.58		NEW OBJ.						
Arp335	Arp335	11h04m23.55s	04d49m43.0s	SA(s)bc	0.12214	2.1	93.89	0.025594	104.27	1.03	520.68	1.35	0.447	4.0	66.74	40	NEW OBJ.						
KISS15m	NGC4098NED1	12h06m03.583s	20d36m29.12s	Sc	0.08587	1.23	41.48	0.02438	112.50	1.05	572.69	2.51	0.68	5.0	48.47		NEW OBJ.						
NGC1385	NGC1385	03h37m28.85s	-24d30m01.1s	SBcd	0.05363	3.4	28.82	0.005000	16.00	0.94	72.92	6.61	0.589	5.0	55.6	165	NEW OBJ.						
NGC2369	NGC2369	07h16m37.73s	-62d20m37.4s	SABab	0.30287	3.5	51.34	0.010807	35.30	0.93	159.16	1.02	0.302	2.0	85.17	178	NEW OBJ.						
SN2005el	NGC1819	05h11m46.14s	05d12m02.2s	SB0	0.30256	1.7	33.72	0.014910	62.28	1.0	301.94	3.39	0.708	-1.0	51.09	120	NEW OBJ.						
SN2005my	ESO302-G027	04h01m51.76s	-41d56m30.8s	SABc	0.02697	1.22	31.45	0.014807	59.16	1.19	341.31	1.15	0.355	5.0	72.65	25	NEW OBJ.						
SN2008bt	NGC3404	10h50m17.98s	-12d06m31.4s	SBab	0.13857	2.1	41.04	0.015364	64.47	1.04	325.06		0.229	1.0	90.0		NEW OBJ.						
SN2009ab	UGC2998	04h16m34.30s	02d45m32.7s	SB(rs)b	0.57164	1.5	24.36	0.011171	49.30	0.98	234.23	1.26	0.891	3.0	28.03		NEW OBJ.						
SN2011gw	IC2200	07h28m17.51s	-62d21m10.5s	SABb	0.49073	1.3	52.94	0.010834	49.91	1.01	244.39	1.02	0.550	3.0	59.81	59	NEW OBJ.						
SN2012U	ESO153-G020	02h06m03.49s	-55d11m36.7s	SB(rs)b	0.07037	1.6	55.08	0.019784	85.78	1.12	465.78		0.617	3.0	54.53	14	NEW OBJ.						
SN2013ct	NGC428	01h12m55.71s	00d58m53.6s	SAB(s)m	0.07595	4.1	18.15	0.003853	12.48	1.24	75.03	0.83	0.759	9.0	41.01	120	NEW OBJ.						
SN2013gy	NGC1418	03h42m16.16s	-04d43m50.7s	SB(s)b	0.14973	1.3	25.48	0.014023	64.96	1.07	336.98	2.82	0.676	3.0	49.7	30	NEW OBJ.						
SN2014eg	ESO154-G010	02h45m08.71s	-55d44m26.1s	SB(r)a	0.07967	2.6	85.23	0.018633	81.11	1.17	460.08	6.03	0.407	1.0	75.29	93	NEW OBJ.						
SN2015F	NGC2442	07h36m23.84s	-69d31m51.0s	SAB(s)bc	0.53847	5.5	47.65	0.004890	21.01	1.23	125.29	1.18	0.891	3.0	28.03		NEW CUBE						
SN2018bsz	2MASXJ16093905-3203443	16h09m39.02s	-32d03m44.1s	S0	0.64201	0.48	22.56	0.026665	119.50	1.1	637.29		1.0	-1.0	0.0		NEW OBJ.						
NGC1433	NGC1433	03h42m01.55s	-47d13m19.5s	SB(r)ab	0.02418	6.5	22.05	0.003589	9.47	0.8	36.73	387.40	0.912	1.0	25.74		NEW CUBE						
MCG-01-24-012	MCG-01-24-012	09h20m46.25s	-08d03m22.1s	SAB(rs)c	0.09176	1.3	37.01	0.019650	91.74	0.38	169.01	80.90	0.562	5.0	57.62		NEW OBJ.						
UGC2936	UGC2936	04h02m48.19s	01d57m57.7s	SB(s)d	1.20435	2.5	36.77	0.012712	42.82	0.99	205.52	150.70	0.269	7.0	77.27	30	NEW OBJ.						
NGC1672	UGC2936	04h45m42.50s	-59d14m49.9s	SB(s)b	0.06231	6.6	30.92	0.004440	11.81	0.44	25.19	396.40	0.832	3.0	35.04	171	NEW CUBE						
SCG0045B_1	NGC247B	00h47m35.15s	-20d25m43.3s	SB(s)b pec	0.04526	1.386	35.73	0.02039	85.72	0.9	374.02	61.40	0.380	3.0	73.2	21	NEW OBJ.						
NGC7552	NGC7552	23h16m10.76s	-42d35m05.1s	SB(s)ab	0.03751	3.4	17.07	0.005365	11.53	1.07	59.81	203.30	0.794	2.0	39.45	1	NEW CUBE						
cartwheel	ESO350-40	00h37m41.11s	-33d42m58.8s	RING	0.02852	1.1	57.69	0.030187	129.64	0.84	527.95	68.90	0.759	int	50.45	128	NEW OBJ.						
Arp144	Arp144	00h06m28.00s	-13d25m06.0s	Int. Double	0.08308	0.8	19.64	0.019347	80.57	1.08	421.86		0.65	int	49.87		NEW OBJ.						
IC719	IC719	11h40m18.51s	09d00m35.6s	S0	0.13547	1.08	10.56	0.006114	27.92	1.2	162.43	75.50	0.309	-1.0	90.0	52	NEW OBJ.						
SCG0045B_2	ESO540-G025	00h47m37.94s	-20d31m10.2s	SB(s)c pec	0.0468	1.35	35.77	0.02089	87.94	1.12	477.51	61.40	0.832	5.0	34.5		NEW OBJ.						
JO204	CGCG008-077	10h13m46.820s	-00d54m51.20s	Sc	0.11005	0.792	45.45	0.04244	192.92	0.87	813.71		0.4	5.0	69.35		NEW OBJ.						
IC214	IC214	02h14m05.59s	05d10m23.7s	Sm	0.11997	0.8	34.36	0.030504	131.03	0.94	597.14	49.90	0.724	9.0	44.04		NEW OBJ.						
NGC4691	NGC4691	12h48m13.63s	-03d19m57.8s	SB0/a(s) pec	0.07378	2.52	17.48	0.003736	21.32	0.57	58.92	169.10	0.813	-1.0	39.91	85	NEW CUBE						
NGC4636	NGC4636	12h42m49.83s	02d41m16.0s	S0-1	0.07409	6.0	33.20	0.003129	16.30	1.06	83.77	361.50	0.776	-1.0	44.02	150	NEW OBJ.						
NGC0940	NGC940	02h29m27.50s	31d38m27.3s	S0	0.23963	1.2	36.39	0.017075	72.14	0.96	335.75	70.50	0.813	-1.0	39.91		NEW OBJ.						